categoria,subcategoria,nombre,precio,url,tienda
Arcillas,Arcillas alta temperatura,LUNA gres moteado 12.5kg,14.94€,https://anper.net/productos/1255/arcilla-alta-temperatura/luna-gres-moteado-12-5kg,Anper
Arcillas,Arcillas alta temperatura,PA000807 Gres art-13 colaje 1Kg,"1Kg
2.37€
5Kg
9.55€
25Kg
36.12€",https://anper.net/productos/248/arcilla-alta-temperatura/pa000807-gres-art-13-colaje,Anper
Arcillas,Arcillas alta temperatura,PA000807 Gres art-13 colaje 5Kg,"1Kg
2.37€
5Kg
9.55€
25Kg
36.12€",https://anper.net/productos/248/arcilla-alta-temperatura/pa000807-gres-art-13-colaje,Anper
Arcillas,Arcillas alta temperatura,PA000807 Gres art-13 colaje 25Kg,"1Kg
2.37€
5Kg
9.55€
25Kg
36.12€",https://anper.net/productos/248/arcilla-alta-temperatura/pa000807-gres-art-13-colaje,Anper
Arcillas,Arcillas alta temperatura,"PA000821 Gres -130 húmeda 12,5Kg",13.19€,https://anper.net/productos/254/arcilla-alta-temperatura/pa000821-gres-130-humeda-125kg,Anper
Arcillas,Arcillas alta temperatura,PA000825 Gres -130 chamota fina 10Kg,17.40€,https://anper.net/productos/255/arcilla-alta-temperatura/pa000825-gres-130-chamota-fina-10kg,Anper
Arcillas,Arcillas alta temperatura,"PA847030 Gres 70/30 húmeda 12,5Kg",18.54€,https://anper.net/productos/258/arcilla-alta-temperatura/pa847030-gres-70-30-humeda-125kg,Anper
Arcillas,Arcillas alta temperatura,PA84GT100P Gres Saint-Amand torno 1240-1280ºC 20Kg,16.63€,https://anper.net/productos/264/arcilla-alta-temperatura/pa84gt100p-gres-saint-amand-torno-1240-1280-c-20kg,Anper
Arcillas,Arcillas alta temperatura,PA84R2505 Gres Rojo Chamotado Sibelco 10Kg,14.56€,https://anper.net/productos/1137/arcilla-alta-temperatura/pa84r2505-gres-rojo-chamotado,Anper
Arcillas,Arcillas alta temperatura,PA84WB01766T Gres Blanco en polvo Sibelco 25Kg,33.06€,https://anper.net/productos/288/arcilla-alta-temperatura/pa84wb01766t-gres-blanco-en-polvo-sibelco-25kg,Anper
Arcillas,Arcillas alta temperatura,PA84WB03999 Gres Blanco húmedo Sibelco 10Kg,12.81€,https://anper.net/productos/289/arcilla-alta-temperatura/pa84wb03999-gres-blanco-humedo-sibelco-10kg,Anper
Arcillas,Arcillas alta temperatura,PA84WB04048 Gres Extra-blanco húmedo Sibelco 10Kg,15.71€,https://anper.net/productos/290/arcilla-alta-temperatura/pa84wb04048-gres-extra-blanco-humedo-sibelco-10kg,Anper
Arcillas,Arcillas alta temperatura,PA84WM2502 Gres crema chamotado 0-0.2 Sibelco 10Kg,14.05€,https://anper.net/productos/291/arcilla-alta-temperatura/pa84wm2502-gres-crema-chamotado-0-0-2-sibelco-10kg,Anper
Arcillas,Arcillas alta temperatura,PA84WM2502B Gres caqui chamotado 0-0.2 Sibelco 10Kg,14.30€,https://anper.net/productos/292/arcilla-alta-temperatura/pa84wm2502b-gres-caqui-chamotado-0-0-2-sibelco-10kg,Anper
Arcillas,Arcillas alta temperatura,PA84WM3020FS gres Blanco Chamota Negra Sibelco 10Kg,15.44€,https://anper.net/productos/1136/arcilla-alta-temperatura/pa84wm3020fs-gres-blanco-chamota-negra-,Anper
Arcillas,Arcillas alta temperatura,PA84WMS2502 Gres crema moteado 0-0.2 Sibelco 10Kg,14.80€,https://anper.net/productos/293/arcilla-alta-temperatura/pa84wms2502-gres-crema-moteado-0-0-2-sibelco-10kg,Anper
Arcillas,Arcillas alta temperatura,PA84WSZ2005 Gres blanco chamotado 0-0.5 Sibelco 10Kg,16.38€,https://anper.net/productos/294/arcilla-alta-temperatura/pa84wsz2005-gres-blanco-chamotado-0-0-5-sibelco-10kg,Anper
