categoria,subcategoria,nombre,precio,url,descripcion,tienda
Arcilla Alta temperatura,Gres,LUNA gres moteado 12.5kg,14.94€,https://anper.net/productos/1255/arcilla-alta-temperatura/luna-gres-moteado-12-5kg,"Pasta de gres moteado con chamota impalpable 0-0.2 mm. Diseñada para cerámica artística, contiene minerales fundentes que desarrollan una seductora superficie con puntos oscuros de distintos tamaños y tonalidades que destacan en una matriz de color blanco marfil. Su elevado contenido en chamota le proporciona un excelente comportamiento durante el secado y la cocción. La decoración con esmaltes transparentes es ideal para realzar la viveza del efecto moteado. Disponible en pasta plástica extrusionada.
  Temperatura de cocción: 1200-1260ºC
Temperatura bizcocho: 1000ºC
Humedad: 19%
Plasticidad (IP Atterberg): 14
Calcimetría (CaCO3): 0%
Contracción secado: 5.8%
Contracción cocción 1260ºC: 5.3%
Porosidad (absorción de agua) 1260ºC: 0.0%
Resistencia mecánica en seco: 2.7 N/mm2
Resistencia mecánica cocido 1260ºC: 29.2 N/mm2
Coeficiente dilatación 1250ºC (25-500ºC): 61.1x10^-7ºC^-1",Anper
Arcilla Alta temperatura,Gres,PA000807 Gres art-13 colaje,"1Kg
2.37€
5Kg
9.55€
25Kg
36.12€",https://anper.net/productos/248/arcilla-alta-temperatura/pa000807-gres-art-13-colaje,"PASTA CERÁMICA TIPO GRES PORCELÁNICO
POLVO ATOMIZADO PRE-DEFLOCULADO
APLICACIÓN: COLAJE    
   PROPIEDADES EN CRUDO:
Para obtener una Barbotina de densidad aproximada a 1780gr/l (70% contenidos en sólidos) se necesitan 37 litros de agua para 100Kg de pasta. La viscosidad recomendada para colar es de 60 – 80 segundos copa Ford nº4 (700 – 1000cP). Si fuera superior, añadir dispex en pequeñas cantidades (de 5 en 5cc).
   Contracción de secado:  4 – 5 %
   Pérdida al fuego:   5,5 – 6%
  PROPIEDADES EN COCIDO  :
     Temperatura de cocción: 1270º – 1300ºC
   Color en cocido: Gris
   Densidad aparente: 2,2 – 2,3 q.cm3
   Absorción de agua:  0 – 1%
   Contracción de cocción:  6 – 8 %
   Coef.dilat. térmica (50º-300º) : 5,6 – 5,8x10-7ºC-1
   Coef.dilat. térmica (50º-1000º) : 5,8 – 6,0x10-7ºC-1
  PROPIEDADES MECÁNICAS
     Resistencia mecánica a la flexión: Mayor de 600Mpa
     Resistencia choque térmico: ΔT Mínimo 150ºC",Anper
Arcilla Alta temperatura,Gres,"PA000821 Gres -130 húmeda 12,5Kg",13.19€,https://anper.net/productos/254/arcilla-alta-temperatura/pa000821-gres-130-humeda-125kg,"    Masa plástica con un 17-19%  humedad
Temperatura cocción: 1240º - 1280ºC
   Propiedades en crudo:
    Contracción de secado:  4.5 - 6.5 %
     Pérdida al fuego:   5,2 - 6,2 %
 
Propiedades en cocido:
     Absorción de agua :  0 - 2 %
   Contracción de cocción:  5,0 - 6,5 %
   Coef.dilat. térmica (50º-300º) : 5,5 - 5,8x10-7ºC-1
     Densidad aparente 2,3 - 2,4 g.cm3",Anper
Arcilla Alta temperatura,Gres,PA000825 Gres -130 chamota fina 10Kg,17.40€,https://anper.net/productos/255/arcilla-alta-temperatura/pa000825-gres-130-chamota-fina-10kg,"Gres Chamotado de 0 - 0.5mm adecuado para un uso general
 Presentación:  
                 Masa plástica con un 17-19%  humedad
Temperatura cocción: 1250º - 1300ºC
   Propiedades en crudo:
     Contracción de secado:  5.5 - 6.5 %
   Módulo de ruptura:  55 - 60 Kg/cm2
   Pérdida al fuego:   4.5 - 5.0 %

Propiedades en cocido:
    Absorción de agua :  0 - 3 %
     Contracción de cocción:  4.5 - 5.5 %
   Coef.dilat. térmica (50º-300º) : 52 - 54x10-7ºC-1
     Módulo de ruptura:  300 - 400 Kg/cm2",Anper
Arcilla Alta temperatura,Gres,"PA847030 Gres 70/30 húmeda 12,5Kg",18.54€,https://anper.net/productos/258/arcilla-alta-temperatura/pa847030-gres-70-30-humeda-125kg,"Temperatura 1230 - 1280ºC
Pasta de gres para modelar, muy plástica y manejable. Aconsejada para la realización de esculturas, murales, manualidades. Continene una proporción de chamota de 0,3mm. Su aspecto cocido (de color entre pardo y marrón según atmósfera y temperatura, con motas oscuras) es muy valorado por los artistas. Su temperatura de coción es muy variable según las terminación deseada, desde los 1.050 ºC (porosa) hasta su gresificación hacia los 1.300 ºC, tanto en atmósfera oxidante o neutra como en reductora.
Más suave y dúctil en el trabajo, permite modelar detalles más pequeños y concretos. Su aspecto cocido es más uniforme y compacto.",Anper
Arcilla Alta temperatura,Gres,PA84GT100P Gres Saint-Amand torno 1240-1280ºC 20Kg,16.63€,https://anper.net/productos/264/arcilla-alta-temperatura/pa84gt100p-gres-saint-amand-torno-1240-1280-c-20kg,"DESCRIPCIÓN
Pasta tradicional de gres de Saint-Amand en Puisaye. Para cerámica artística y decorativa. Las temperaturas de cocción óptimas son de 1250ºC en oxidación y 1280ºC en reducción. Ideal para tornear y modelar.
  Análisis químico
SiO2...   68,0
Al2O3...19,6
Fe2O3...1,4
TiO2...1
CaO...0,2
MgO...0,5
Na2O...2,0
K2O...2,0
L.O.I...7,0
Plasticidad (Atterberg)
L.L...57
I.P...27
  Calcimetría...0   ",Anper
Arcilla Alta temperatura,Gres,PA84R2505 Gres Rojo Chamotado Sibelco 10Kg,14.56€,https://anper.net/productos/1137/arcilla-alta-temperatura/pa84r2505-gres-rojo-chamotado,"Fabricante: Sibelco
  Rango cocción: 1000ºC-1250ºC",Anper
Arcilla Alta temperatura,Gres,PA84WB01766T Gres Blanco en polvo Sibelco 25Kg,33.06€,https://anper.net/productos/288/arcilla-alta-temperatura/pa84wb01766t-gres-blanco-en-polvo-sibelco-25kg,Rango cocción: 1000ºC-1250ºC,Anper
Arcilla Alta temperatura,Gres,PA84WB03999 Gres Blanco húmedo Sibelco 10Kg,12.81€,https://anper.net/productos/289/arcilla-alta-temperatura/pa84wb03999-gres-blanco-humedo-sibelco-10kg,Rango cocción: 1000ºC-1280ºC,Anper
Arcilla Alta temperatura,Gres,PA84WB04048 Gres Extra-blanco húmedo Sibelco 10Kg,15.71€,https://anper.net/productos/290/arcilla-alta-temperatura/pa84wb04048-gres-extra-blanco-humedo-sibelco-10kg,Rango cocción: 1000ºC-1280ºC,Anper
