categoria,subcategoria,tipo,nombre,precio,url,tienda
arcillas,arcillas-baja-temperatura,no tiene,Arcilla blanca 5 Kg. SIO2,"4,72€",https://www.marphil.com/producto/arcilla-blanca-5-kg-sio2/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Roja Escolar 1.5 Kg.,"1,77€",https://www.marphil.com/producto/arcilla-roja-escolar-pf-1-5-kg/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Blanca EUROPA en POLVO,"10,71€ – 39,26€",https://www.marphil.com/producto/arcilla-blanca-en-polvo-europa/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Roja en POLVO,"19,17€",https://www.marphil.com/producto/arcilla-roja-polvo-sio2-saco-de-25kg/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Blanca M5/8 12.5 kg,"9,92€",https://www.marphil.com/producto/arcilla-blanca-montesa-m58/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Blanca PA 12.5 kg,"9,26€",https://www.marphil.com/producto/pa-arcilla-blanca/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Blanca PA-CH 12.5 kg,"10,91€",https://www.marphil.com/producto/pa-ch-fina-arcilla-blanca-chamotada/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Roja Tradicional PF 12.5 Kg,"5,95€",https://www.marphil.com/producto/pasta-roja-tradicional-pf/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Roja Chamotada PF CH-F 12.5 kg,"7,45€",https://www.marphil.com/producto/pasta-roja-chamotada-pf-ch-f/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Roja Chamotada PF CH-M 12.5 kg,"7,16€",https://www.marphil.com/producto/pasta-roja-chamotada-pf-ch-m/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Negra PM Manganeso 12.5 kg,"11,00€",https://www.marphil.com/producto/arcilla-negra-pm/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Terracota Chamotada PT CH-F 12.5 kg,"7,83€",https://www.marphil.com/producto/pasta-terracota-chamotada-pt-ch-f/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Azul PLA 5 kg,"17,81€",https://www.marphil.com/producto/arcilla-azul-pla/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Verde PLV 5 kg,"14,87€",https://www.marphil.com/producto/arcilla-verde-plv/,Marphil
arcillas,arcillas-baja-temperatura,no tiene,Arcilla Roja Apache 12.5 kg,"12,69€",https://www.marphil.com/producto/arcilla-apache/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Arcilla Refractaria Zamora (PRAI) *5Kg,"6,38€",https://www.marphil.com/producto/arcilla-refractaria-zamora-5-kg-prai/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Arcilla refractaria Granada (PRAF) *5Kg,"6,38€",https://www.marphil.com/producto/arcilla-refractaria-granada-praf/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Arcilla Refractaria Teide (PRLF) *5Kg,"6,12€",https://www.marphil.com/producto/arcilla-refractaria-teide-prlf/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Arcilla Refractaria Lanzarote (PRNF) *5Kg,"6,90€",https://www.marphil.com/producto/arcilla-refractaria-lanzarote-prnf/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Albino Impalpable PRAI 12.5 kg,"14,50€",https://www.marphil.com/producto/refractario-albino-impalpable-prai/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Albino Fino PRAF 12.5 kg,"14,50€",https://www.marphil.com/producto/refractario-albino-fino-praf/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Albino Medio PRAM 12.5 kg,"14,79€",https://www.marphil.com/producto/refractario-albino-medio-pram/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Toffee impalpable,"14,98€",https://www.marphil.com/producto/refractario-toffee-impalpable/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Impalpable PRGI 12.5 kg,"13,42€",https://www.marphil.com/producto/refractario-gris-impalpable-prgi/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Fino PRGF 12.5 kg,"13,42€",https://www.marphil.com/producto/refractario-gris-fino-prgf/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Medio PRGM 12.5 kg,"13,42€ 11,62€",https://www.marphil.com/producto/refractario-gris-medio-prgm/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Berlín Gris Chamota Impalpable 12.5 KG,"16,69€",https://www.marphil.com/producto/berlin-gris-chamota-impalpable-12-5-kg/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Zumaia Gris CH-Fina 12.5 kg,"16,07€",https://www.marphil.com/producto/productorefractario-zumaia-color-gris/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Barcino Gris CH-Media 12.5 Kg.,"16,07€",https://www.marphil.com/producto/barcino-refractario-gris-12-5-kg/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Negro Impalpable PRNI 12.5 kg,"15,08€ 11,62€",https://www.marphil.com/producto/refractario-negro-impalpable-prni/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Negro Fino PRNF 12.5 kg,"15,08€",https://www.marphil.com/producto/refractario-negro-fino-prnf/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Negro Medio PRNM 12.5 kg,"14,44€",https://www.marphil.com/producto/refractario-negro-medio-prnm/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Negro Grueso PRNG 12.5 kg,"15,04€",https://www.marphil.com/producto/refractario-negro-grueso-prn/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Lila Fino PRLF 12.5 kg,"13,33€",https://www.marphil.com/producto/refractario-lila-fino-prlf/,Marphil
arcillas,arcillas-alta-temperatura,arcilla-refractaria,Refractario Lila Medio PRLM 12.5 kg,"13,33€",https://www.marphil.com/producto/refractario-lila-medio-prlm/,Marphil
arcillas,arcillas-alta-temperatura,arcillas-gres,"Gres moteado Luna 12,5 Kg","17,40€",https://www.marphil.com/producto/gres-moteado-luna-125-kg/,Marphil
arcillas,arcillas-alta-temperatura,arcillas-gres,Gres con Chamota negra WM 3020 FS 10 Kg.,"17,84€",https://www.marphil.com/producto/gres-con-chamota-negra-wm-3020-fs-10-kg/,Marphil
